prod_id;users;prod_name_long;prod_brand;tags; prod_unit_price ;rating
78;9335;Aromatizante Liquido Carro Nuevo Glade Auto Sport 1 Aparato + 1 Repuesto x 7ml;GLADE;Ambientadores;13.013;8
79;254;Aromatizante Liquido Lavanda Marina Glade Auto Sport 1 Aparato + 1 Repuesto x 7ml;GLADE;Ambientadores;13.013;10
80;1307;Aromatizante Liquido Nitro Glade Auto Sport 1 Aparato + 1 Repuesto x 7ml;GLADE;Ambientadores;13.013;0
81;6004;Elimina olor Familia baño x 300 ml + elimina to go x 33 ml precio especial;FAMILIA;Ambientadores;11.613;3
82;6936;Eliminador de olores baño Familia brisa primavera x 1 und x300 ml;FAMILIA;Ambientadores;9.373;1
83;8568;Eliminador de Olores Baño To Go Nuevas Fragancias X 33 ml;FAMILIA;Ambientadores;3.353;5
84;7865;Eliminador de Olores Familia Baño Canela Mística X 300 ml;FAMILIA;Ambientadores;9.373;3
85;177;Eliminador de Olores Familia Cocina Verbena X 280ml;FAMILIA;Ambientadores;8.113;4
86;4469;Eliminador de Olores Familia Frescura Extrema X 300 ml;FAMILIA;Ambientadores;9.373;4
87;1846;Eliminador de olores Glade lavanda  toque repuesto x 3 und x 25 g c-u;GLADE;Ambientadores;12.313;1
88;9812;Eliminador de olores Glade manzana canela toque repuesto x 3 und x 25 g c-u;GLADE;Ambientadores;12.313;1
89;1861;Eliminador de olores Glade paraíso azul toque repuesto x 3 und x 25 g c-u;GLADE;Ambientadores;12.313;7
90;7970;Repuesto Ambientador Aerosol Automático Frescura De Lavanda Bonaire x 250ml;BONAIRE;Ambientadores;20.990;2
91;278;Repuesto Ambientador Electra Oil Frutos Rojos Bonaire 3 und x 25ml c-u;BONAIRE;Ambientadores;21.990;0
92;1286;Repuesto Ambientador Electra Oil Surtido Bonaire 3 und x 25ml c-u;BONAIRE;Ambientadores;22.990;2
93;8417;Repuesto Ambientador Toque Único Surtido Bonaire 3 und x 14ml c-u;BONAIRE;Ambientadores;18.590;2
94;1339;Repuesto Aromatizante Air Wick pure magnolia x 250ml;AIR WICK;Ambientadores;13.713;10
95;6840;Repuesto Aromatizante De Ambiente En Aerosol Automático 3 En 1 Hawaiian Breeze Glade x 270ml;GLADE;Ambientadores;13.713;10
96;1060;Repuesto Aromatizante De Ambiente En Aerosol Automático 3 En 1 Paraíso Azul Glade x 270ml;GLADE;Ambientadores;13.713;9
97;1138;Repuesto aromatizante de ambiente en atomizador campos de lavanda Glade toque x 2 und x 18 g;PATO;Ambientadores;12.390;6
98;7078;Repuesto Aromatizante De Ambiente En Atomizador Paraíso Azul Glade Toque 2 x 18g;GLADE;Ambientadores;12.490;0
99;598;Repuesto Aromatizante De Ambiente En Gel Acqua Glade Sensations 2 Und x 8g c-u;GLADE;Ambientadores;11.193;9
100;2171;Repuesto Aromatizante De Ambiente En Gel Carro Nuevo Glade Sensations 2 Und x 8g c-u;GLADE;Ambientadores;11.193;1
101;103;Repuesto Aromatizante De Ambiente En Gel Hawiian Breeze Glade Sensations 2 Und x 8g c-u;GLADE;Ambientadores;11.193;5
102;4285;Repuesto Aromatizante De Ambiente En Gel Manzana y Canela Glade Sensations 2 Und x 8g c-u;GLADE;Ambientadores;11.193;5
103;3692;Repuesto Aromatizante De Ambiente En Gel Néctar De Flores Glade Sensations 2 Und x 8g c-u;GLADE;Ambientadores;11.193;3
104;5888;Repuesto Aromatizante Liquido Acqua Glade Auto Sport x 7ml;GLADE;Ambientadores;10.913;4
105;1319;Repuesto Aromatizante Liquido Carro Nuevo Glade Auto Sport x 7ml;GLADE;Ambientadores;10.913;2
106;4999;Repuesto Aromatizante Liquido Lavanda Marina Glade Auto Sport x 7ml;GLADE;Ambientadores;10.913;5
107;4003;Repuesto Aromatizante Liquido Nitro Glade Auto Sport x 7ml;GLADE;Ambientadores;10.913;9
108;9313;Repuesto Aromatizante Liquido Paraíso Azul Glade Auto Sport x 7ml;GLADE;Ambientadores;10.913;2
109;1670;Repuesto Glade limón aceite natural x 3 unds x 21ml c-u precio especial;GLADE;Ambientadores;15.113;6
110;87;Repuestos Ambientador Liquido Hawaiian Breeze Glade Aceites Naturales 2 Und x 42ml;GLADE;Ambientadores;12.313;1
111;9161;Repuestos Ambientador Liquido Lavanda Y flor De Durazno Glade Aceites Naturales 2 Und x 42ml;GLADE;Ambientadores;12.313;8
112;5282;Repuestos Ambientador Liquido Paraíso Azul Glade Aceites Naturales 2 Und x 42ml;GLADE;Ambientadores;12.313;2
113;4350;Repuestos Ambientador Liquido Surtido Glade Aceites Naturales 3 Und;GLADE;Ambientadores;15.113;3
114;5814;Aerosol Clorox Desinfectante Fresco x 232ml;CLOROX;Blanqueadores;8.673;5
115;5140;Clorox Blancos Intensos x 930ml;CLOROX;Blanqueadores;4.193;7
116;7782;Clorox Floral x 3800ml;CLOROX;Blanqueadores;9.793;5
117;5997;Clorox Floral x 1000ml;CLOROX;Blanqueadores;3.003;8
118;821;Clorox Limón x 1000ml;CLOROX;Blanqueadores;3.003;6
119;1346;Clorox Limón x 2000ml;CLOROX;Blanqueadores;5.453;4
120;1514;Clorox Limón x 3800ml;CLOROX;Blanqueadores;9.793;9
121;3160;Clorox Menta Fresca x 2000ml;CLOROX;Blanqueadores;5.453;5
122;8604;Clorox Power Gel Floral x 1000ml;CLOROX;Blanqueadores;4.893;3
123;3973;Clorox Power Gel Lavanda x 1000ml;CLOROX;Blanqueadores;5.313;6
124;2978;Clorox Power Gel Lavanda x 500ml;CLOROX;Blanqueadores;2.653;8
125;6276;Clorox Power Gel Pureza Cítrica x 1000ml;CLOROX;Blanqueadores;5.733;3
126;9662;Clorox Power Gel Regular x 1000ml;CLOROX;Blanqueadores;5.313;8
127;9180;Clorox Regular x 1000ml;CLOROX;Blanqueadores;3.213;5
128;9046;Clorox Regular x 3800ml;CLOROX;Blanqueadores;9.793;6
129;6375;Clorox Regular x 2000ml;CLOROX;Blanqueadores;5.453;2
130;1268;Límpido Floral x 1000ml;LIMPIDO;Blanqueadores;2.653;7
131;6904;Límpido Floral x 1800ml;LIMPIDO;Blanqueadores;4.333;2
132;1780;Límpido Floral x 3800ml;LIMPIDO;Blanqueadores;8.813;9
133;1835;Límpido Limón x 1000ml;LIMPIDO;Blanqueadores;2.653;1
134;3777;Límpido Limón x 3800ml;LIMPIDO;Blanqueadores;8.813;1
135;1499;Límpido Limón x 1800ml;LIMPIDO;Blanqueadores;4.333;10
136;9764;Límpido Regular x 1800ml;LIMPIDO;Blanqueadores;4.333;5
137;5430;Límpido Regular x 3800ml;LIMPIDO;Blanqueadores;6.990;5
138;5933;Blanqueador Blancox x 2000ml;BLANCOX;Blanqueadores;7.190;6
139;1589;Blanqueador Blancox floral x 1000ml;BLANCOX;Blanqueadores;4.390;3
140;4881;Blanqueador Clorox anti splash x 1800 ml;CLOROX;Blanqueadores;6.573;0
141;5638;Blanqueador Clorox anti splash x 930 ml;CLOROX;Blanqueadores;3.773;10
142;6368;Blanqueador Clorox total magia floral x 2000ml+ original x 530ml;LAS TINAJAS;Blanqueadores;5.593;5
143;5085;Blanqueador desinfectante poder natural Blancox x 2000ml precio especial;BLANCOX;Blanqueadores;5.190;7
144;6210;Blanqueador floral Blancox x 2000ml.;BLANCOX;Blanqueadores;8.590;2
145;6989;Blanqueador lima limón Blancox x 2000ml;BLANCOX;Blanqueadores;8.590;8
146;2166;Blanqueador Máxima desinfectante floral x 4000ml;MAXIMA MP;Blanqueadores;6.190;6
147;142;Blanqueador Máxima desinfectante limón x 4000ml;MAXIMA MP;Blanqueadores;6.190;2
148;7102;Blanqueador Máxima desinfectante sin aroma x 4000ml;MAXIMA MP;Blanqueadores;6.190;5
149;2654;Blanqueadror flora vital Blancox pague 1600ml lleve2000;BLANCOX;Blanqueadores;6.190;4
150;7877;Limpiador pisos madera búfalo x 600ml;BUFALO;Cera;6.153;6
151;9944;Limpiador verde mantenimiento piso porcelanato ceramica  binner x 1000 ml;BINNER;Cera;13.993;8
152;8796;Limpiador verde mantenimiento pisos madera laminados  binner x 1000 ml;BINNER;Cera;16.793;9
153;7434;Cera amarilla Bufalo cojin x 700 mL;BUFALO;Cera;5.873;4
154;8693;Cera auto brillante Búfalo negra x 1000 ml;BUFALO;Cera;9.443;8
155;4185;Cera auto brillante cojín x 700ml;BUFALO;Cera;7.973;1
156;2118;Cera Beisbol autobrillante floral multipisos doypack x 450ml;BEISBOL;Cera;5.593;1
157;2752;Cera Beisbol todo color autobrillo instantáneo floral x 1000 ml;BEISBOL;Cera;10.493;5
158;5391;Cera Binner selladora autobrillante lavanda x 500ml;BINNER;Cera;12.590;6
159;8274;Cera emulsión x 2000 ml;BUFALO;Cera;12.313;7
160;8332;Cera escarlata bufalo cojin x 700 ml;BUFALO;Cera;6.853;2
161;489;Cera escarlata cojín x 700ml;BEISBOL;Cera;7.413;5
162;3957;Cera especializadas Mansión LIMPIADOR LAMINADOS 750ml;MANSION;Cera;11.613;7
163;8270;Cera especializadas Mansión LIMPIADOR MADERAS 750ml;MANSION;Cera;11.613;9
164;2092;Cera Mansión Brillo Instantáneo Todo Color 1000ml;MANSION;Cera;14.413;9
165;7624;Cera Mansión Max Brillo Todo Color 2000ml;MANSION;Cera;23.093;4
166;4054;Cera Mansión Max Brillo Todo Color 750ml;MANSION;Cera;13.713;7
167;810;Cera neutra Bufalo cojin x 700 ml;BUFALO;Cera;6.293;3
168;2012;Desinfectante canela Pinolina pague 1500 ml lleve 2000ml;PINOLINA;Desinfectantes;5.173;5
169;8404;Desinfectante Cristal Limpia y Perfuma Tu Hogar Bambú Pinolina x 960ml;PINOLINA;Desinfectantes;4.193;3
170;6578;Desinfectante Cristal Limpia y Perfuma Tu Hogar Canela Pinolina x 960ml;PINOLINA;Desinfectantes;4.193;1
171;716;Desinfectante de frutas y vegetales kilol;KILOL;Desinfectantes;8.380;9
172;3760;Desinfectante de frutas y vegetales kilol x 500g;KILOL;Desinfectantes;19.990;3
173;8942;Desinfectante de frutas y vegetales kilol x 1000g;KILOL;Desinfectantes;27.990;10
174;5141;Desinfectante Desinfex aire brisa fresca x 300 ml;DESINFEX;Desinfectantes;10.990;6
175;682;Desinfectante Fabuloso intensa lavanda x 1700ml;FABULOSO;Desinfectantes;8.673;4
176;4519;Desinfectante Harpic tanque white shine x 4 pastillas x 45 g c-u gratis 1 pastilla;HARPIC;Desinfectantes;10.913;8
177;3826;Desinfectante JBO home care bicarbonato limón x1000ml;JBO HOME CARE MP;Desinfectantes;3.633;3
178;792;Desinfectante JBO home care bicloro lavanda x1000ml;JBO HOME CARE MP;Desinfectantes;3.633;4
179;5472;Desinfectante Limpia y Perfuma Tu Hogar Bambú Pinolina x 2000ml;PINOLINA;Desinfectantes;6.993;7
180;4016;Desinfectante Limpia y Perfuma Tu Hogar Citronela Pinolina x 2000ml;PINOLINA;Desinfectantes;6.993;6
181;6947;Desinfectante Limpia y Perfuma Tu Hogar Citronela Pinolina x 3785ml;PINOLINA;Desinfectantes;11.613;2
182;9152;Desinfectante Limpia y Perfuma Tu Hogar Frutos Rojos Pinolina x 2000ml;PINOLINA;Desinfectantes;6.993;2
183;6896;Desinfectante Limpia y Perfuma Tu Hogar Frutos Rojos Pinolina x 960ml;PINOLINA;Desinfectantes;4.193;3
184;5;Desinfectante limpiador Maxima canela x 2000 ml;MAXIMA MP;Desinfectantes;2.653;6
185;1255;Desinfectante limpiador Maxima floral x 2000 ml;MAXIMA MP;Desinfectantes;2.653;7
186;2191;Desinfectante limpiador Maxima lavanda x 2000 ml;MAXIMA MP;Desinfectantes;2.653;0
187;8559;Desinfectante Lps bicarbonato x 5000 ml;LPS;Desinfectantes;11.613;10
188;2549;Desinfectante Mr Músculo brisa marina x 3und x 40g c-u;MR MUSCULO;Desinfectantes;7.693;5
189;4565;Desinfectante Mr Músculo brisa marina pastilla x 40g;MR MUSCULO;Desinfectantes;3.423;5
190;66;Desinfectante Mr Musculo glade paraíso azul x 1800 ml + 900 ml Precio Especial;MR MUSCULO;Desinfectantes;8.673;5
191;5533;Desinfectante Mr.Músculo inodoros citrus gel x 500 ml;MR MUSCULO;Desinfectantes;6.993;3
192;7784;Desinfectante Mr.Músculo inodoros marina gel x 500 ml;MR MUSCULO;Desinfectantes;6.993;10
193;6380;Desinfectante Mr.Músculo inodoros pino gel x 500 ml;MR MUSCULO;Desinfectantes;7.273;0
194;9689;Desinfectante Multiusos 5 En 1 Con Bicarbonato Canela Pinolina x 960ml;PINOLINA;Desinfectantes;3.353;10
195;2760;Desinfectante Oust elimina olores frescura campo aerosol  x 400ml;OUST;Desinfectantes;13.390;0
196;9438;Desinfectante Oust eliminador olores floral aerosol x 400ml;OUST;Desinfectantes;13.390;8
197;4579;Desinfectante Pinolina lavanda pague 1500 ml lleve 2000 ml;PINOLINA;Desinfectantes;5.173;2
198;2250;Desinfectante Pinolina lavanda pague 2785 ml lleve 3785 ml;PINOLINA;Desinfectantes;9.093;10
199;2606;Desinfectante Sanpic canela manzana x 2000 ml pague 1500 ml lleve 2000 ml;SANPIC;Desinfectantes;7.693;0
200;2852;Desinfectante Sanpic lavandax1500 ml+ gratis 500 ml;SANPIC;Desinfectantes;7.693;9
201;9248;Desinfectante Sanpic vainilla pague 1500 ml lleve 2000 ml;SANPIC;Desinfectantes;7.693;10
202;8897;Limpia Pisos Floral Perfection Mr Musculo x 1800ml;MR MUSCULO;Desinfectantes;6.013;7
203;1057;Limpia Pisos Paraíso Azul Glade Mr Musculo x 1800ml;MR MUSCULO;Desinfectantes;6.013;10
204;2119;Limpiador Eterna bicarbonato 4 en 1 herbal x 2000ml;ETERNA;Desinfectantes;6.573;10
205;1329;Limpiador Fabuloso multiusos antibacterial floral doypack x 1.5L;FABULOSO;Desinfectantes;6.293;3
206;6772;Limpiador Líquido Ajax Bicarbonato Naranja-Limón 1L;AJAX;Desinfectantes;5.033;8
207;9587;Limpiador Líquido Ajax Bicarbonato Naranja-Limón 3L;AJAX;Desinfectantes;14.890;3
208;4034;Limpiador Líquido Ajax Bicloro 1L;AJAX;Desinfectantes;5.033;8
209;395;Limpiador Líquido Fabuloso Alternativa al Cloro Fresca Primavera 2L;FABULOSO;Desinfectantes;7.693;7
210;445;Limpiador Líquido Fabuloso Alternativa al Cloro Fresca Primavera 3L;FABULOSO;Desinfectantes;11.193;4
211;8663;Limpiador Líquido Fabuloso Antibacterial Aroma de Bebé 1L;FABULOSO;Desinfectantes;5.033;8
212;2313;Limpiador Líquido Fabuloso Antibacterial Floral 1L;FABULOSO;Desinfectantes;4.473;7
213;3141;Limpiador Líquido Fabuloso Antibacterial Floral 2000ml;FABULOSO;Desinfectantes;7.693;4
214;6977;Limpiador Líquido Fabuloso Antibacterial Fresca Lavanda 1000ml;FABULOSO;Desinfectantes;4.473;4
215;8250;Limpiador Líquido Fabuloso Antibacterial Fresca Lavanda 500ml;FABULOSO;Desinfectantes;2.513;3
216;5025;Limpiador Líquido Fabuloso Antibacterial Mar Fresco 2L;FABULOSO;Desinfectantes;7.190;5
217;7865;Limpiador Líquido Fabuloso Complete Pino y Eucalipto 1.7L;FABULOSO;Desinfectantes;8.673;0
218;7272;Limpiador Máxima desinfectante lavanda x 5000 ml;MAXIMA MP;Desinfectantes;8.990;9
219;8253;Limpiador pinolina floral x  960ml + 460ml precio especial;PINOLINA;Desinfectantes;5.453;10
220;2282;Limpiador piso brillo desinfectante citronela Binner x 2 L;BINNER;Desinfectantes;10.493;8
221;5601;Lysol Aerosol Crisp Linen 12.5Oz;LYSOL;Desinfectantes;11.990;1
222;3172;Lysol Aerosol Spring Water Falls 12.5Oz;LYSOL;Desinfectantes;11.990;0
223;3156;Lysol spray desinfectante brisa de verano x 354g;LYSOL;Desinfectantes;6.573;1
224;9009;Lysol toallas desinfectantes citrus x 35 toallas;LYSOL;Desinfectantes;11.990;3
225;222;Lysol toallas desinfectantes ocean fresh x 35 toallas;LYSOL;Desinfectantes;11.990;6
226;3789;Promo Limpiador Líquido Ajax Bicarbonato Naranja-Limón 2L Precio Especial;AJAX;Desinfectantes;8.390;3
227;2429;Sanpic Lavanda 5000ml;SANPIC;Desinfectantes;13.993;4
228;4600;Insecticida 45 noches repuesto  raid  x 2 un x 66 ml c-u promoción especial;RAID;Insecticidas;17.213;5
229;3858;Insecticida Aerosol Mata Todo Rayol x 400ml;RAYOL;Insecticidas;11.193;7
230;219;Insecticida Baygon X230ml;BAYGON;Insecticidas;4.053;0
231;7411;Insecticida Baygon liquido repuesto x 475ml;BAYGON;Insecticidas;6.433;0
232;2537;Insecticida Baygon matacucarachas y chiripas aerosol x 360ml;BAYGON;Insecticidas;9.793;0
233;1523;Insecticida Baygon mosquitos moscas aerosol x 360 ml;BAYGON;Insecticidas;9.793;5
234;2559;Insecticida Bichek pulgas aerosol x 250cc;BICHEK;Insecticidas;10.590;8
235;1383;Insecticida Bichek pulgas aerosol x 400cc;BICHEK;Insecticidas;11.893;9
236;8810;Insecticida Bichek rastreros cucar hmig aer x 250ml;BICHEK;Insecticidas;8.790;0
237;419;Insecticida Bichek rastreros cucar hmig aer x 400cc;BICHEK;Insecticidas;8.393;1
238;9423;Insecticida Bichek voladores zanc mos aer x 400ml;BICHEK;Insecticidas;8.113;0
239;1793;Insecticida Bichek voladores zancudos moscas aerosol x 250ml;BICHEK;Insecticidas;8.390;8
240;5;Insecticida en aerosol elimina rastreros Extermin x 400 ml;EXTERMIN;Insecticidas;10.493;6
241;7361;Insecticida En Aerosol Multi No Perjudica Las Plantas Raid x 360ml;RAID;Insecticidas;9.373;2
242;6561;Insecticida en aerosol rastreros Extermin x 250 ml;EXTERMIN;Insecticidas;6.013;4
243;8508;Insecticida Extermin liquido mata todo x 500 ml;EXTERMIN;Insecticidas;8.113;2
244;1548;Insecticida Raid doble acción Zancudos y Moscas aerosol x 235ml;RAID;Insecticidas;7.483;1
245;2436;Insecticida Raid elimina voladores x 3 und x 235ml c-u;LA MONITA;Insecticidas;16.513;7
246;5160;Insecticida Raid mata pulgas garrapatas x 335 g;RAID;Insecticidas;8.673;9
247;4439;Insecticida Raid Max mata cucarachas aerosol x 360ml;RAID;Insecticidas;11.893;1
248;5971;Insecticida Raid Max mata cucarachas aerosol x 235ml;RAID;Insecticidas;7.973;10
249;3080;Insecticida Raid max mata cucarachas y arañas x 3 und x 235 ml c-u;RAID MAX;Insecticidas;17.213;6
250;9502;Insecticida Raid pastillas x 72 und;RAID;Insecticidas;19.593;9
251;6337;Insecticida Raid zancudos moscas aerosol x 360 ml;RAID;Insecticidas;10.213;0
252;9420;Insecticida Rayol automatico botanica x 300ml;RAYOL;Insecticidas;10.493;6
253;6164;Insecticida Rayol automatico botánica x 250ml;RAYOL;Insecticidas;18.893;0
254;6183;Insecticida Rayol Mat repuesto x 12 pastillas;RAYOL;Insecticidas;6.433;3
255;4730;Insecticida Rayol matatodo x 400ml + voladores x 230ml precio especial;RAYOL;Insecticidas;14.413;0
